,Instanz,Makespan
1617,1617,3396
1618,1618,3364
1619,1619,3230
1620,1620,3220
1621,1621,3748
1622,1622,3341
1623,1623,3334
1624,1624,3423
1625,1625,3325
1626,1626,3270
1627,1627,3297
1628,1628,3249
1629,1629,3101
1630,1630,3119
1631,1631,3235
1632,1632,3218
1633,1633,3255
1634,1634,3235
1635,1635,3145
1636,1636,3313
1637,1637,3342
1638,1638,3326
1639,1639,3165
1640,1640,3234
1641,1641,3260
1642,1642,3128
1643,1643,3283
1644,1644,3625
1645,1645,3320
1646,1646,3367
1647,1647,3128
1648,1648,3160
1649,1649,3534
1650,1650,3301
1651,1651,3508
1652,1652,3331
1653,1653,3332
1654,1654,3299
1655,1655,3192
1656,1656,3140
1657,1657,3223
1658,1658,3272
1659,1659,2983
1660,1660,3237
1661,1661,3321
1662,1662,3233
1663,1663,3308
1664,1664,3210
1665,1665,3274
1666,1666,3347
1667,1667,3513
1668,1668,3207
1669,1669,3321
1670,1670,3199
1671,1671,3192
1672,1672,3200
1673,1673,3350
1674,1674,3330
1675,1675,3311
1676,1676,3254
1677,1677,3330
1678,1678,3140
1679,1679,3519
1680,1680,3336
1681,1681,3390
1682,1682,3263
1683,1683,3242
1684,1684,3421
1685,1685,3040
1686,1686,3381
1687,1687,3078
1688,1688,3165
1689,1689,3335
1690,1690,3262
1691,1691,3323
1692,1692,3355
1693,1693,3223
1694,1694,3362
1695,1695,3255
1696,1696,3318
1697,1697,3335
1698,1698,3164
1699,1699,3102
1700,1700,3511
1701,1701,3807
1702,1702,3843
1703,1703,3739
1704,1704,3896
1705,1705,4149
1706,1706,3832
1707,1707,3654
1708,1708,3811
1709,1709,3777
1710,1710,3908
1711,1711,3665
1712,1712,3618
1713,1713,4006
1714,1714,3831
1715,1715,3909
1716,1716,3549
1717,1717,3755
1718,1718,3651
1719,1719,3865
1720,1720,4118
1721,1721,3907
1722,1722,3940
1723,1723,3570
1724,1724,3832
1725,1725,4052
1726,1726,3840
1727,1727,4073
1728,1728,3756
1729,1729,3919
1730,1730,3903
1731,1731,3851
1732,1732,3972
1733,1733,3691
1734,1734,3918
1735,1735,3736
1736,1736,3895
1737,1737,3898
1738,1738,3935
1739,1739,3670
1740,1740,3773
1741,1741,3553
1742,1742,3957
1743,1743,3722
1744,1744,3732
1745,1745,3922
1746,1746,3908
1747,1747,3687
1748,1748,3756
1749,1749,4049
1750,1750,3782
1751,1751,3676
1752,1752,3729
1753,1753,4181
1754,1754,3808
1755,1755,4014
1756,1756,3725
1757,1757,3775
1758,1758,3704
1759,1759,4060
1760,1760,3615
1761,1761,3877
1762,1762,3835
1763,1763,3773
1764,1764,3672
1765,1765,3817
1766,1766,3825
1767,1767,3688
1768,1768,3685
