,Instanz,Makespan
1594,1594,1559
1595,1595,1794
1596,1596,1562
1597,1597,1583
1598,1598,1618
1599,1599,1622
1600,1600,1708
1601,1601,1790
1602,1602,1746
1603,1603,1652
1604,1604,1686
1605,1605,1696
1606,1606,1756
1607,1607,1791
1608,1608,1753
1609,1609,1572
1610,1610,1901
1611,1611,1661
1612,1612,1605
1613,1613,1619
1614,1614,1682
1615,1615,1569
1616,1616,1561
1617,1617,1735
1618,1618,1619
1619,1619,1881
1620,1620,1633
1621,1621,1629
1622,1622,1663
1623,1623,1680
1624,1624,1813
1625,1625,1668
1626,1626,1760
1627,1627,1836
1628,1628,1654
1629,1629,1569
1630,1630,1725
1631,1631,1671
1632,1632,1685
1633,1633,1736
1634,1634,1643
1635,1635,1570
1636,1636,1839
1637,1637,1746
1638,1638,1675
1639,1639,1705
1640,1640,1662
1641,1641,1945
1642,1642,1655
1643,1643,1702
1644,1644,1758
1645,1645,1656
1646,1646,1666
1647,1647,1697
1648,1648,1667
1649,1649,1625
1650,1650,1633
1651,1651,1695
1652,1652,1575
1653,1653,1746
1654,1654,1874
1655,1655,1675
1656,1656,1826
1657,1657,1712
1658,1658,1696
1659,1659,1787
1660,1660,1829
1661,1661,1723
1662,1662,1631
1663,1663,1633
1664,1664,1596
1665,1665,1722
1666,1666,1594
1667,1667,1599
1668,1668,1714
1669,1669,1719
1670,1670,1672
1671,1671,1655
1672,1672,1611
1673,1673,1748
1674,1674,1709
1675,1675,1719
1676,1676,1616
1677,1677,1862
1678,1678,1798
1679,1679,1727
1680,1680,1617
1681,1681,1678
1682,1682,1637
1683,1683,1756
1684,1684,1660
1685,1685,1536
1686,1686,1605
1687,1687,1734
1688,1688,1663
1689,1689,1580
1690,1690,1773
1691,1691,1617
1692,1692,1628
1693,1693,1558
1694,1694,1700
1695,1695,1646
1696,1696,1909
1697,1697,1629
1698,1698,1765
1699,1699,1723
1700,1700,1703
1701,1701,1651
1702,1702,1708
1703,1703,1741
1704,1704,1646
1705,1705,1685
1706,1706,1637
1707,1707,1677
1708,1708,1722
1709,1709,1629
1710,1710,1694
1711,1711,1680
1712,1712,1653
1713,1713,1524
1714,1714,1733
1715,1715,1740
1716,1716,1547
1717,1717,1708
1718,1718,1538
1719,1719,1677
1720,1720,1638
1721,1721,1771
1722,1722,1653
